courseno,classno,title,classification,instructor,credit,hour
35325,1,Basic Circuit Laboratory I,Major elective,Ji Hoon Kim,2,3
35325,2,Basic Circuit Laboratory I,Major elective,Ji Hoon Kim,2,3
37508,1,Chemical Engineering Thermodynamics,Major elective,Sangheon Lee,3,3
37835,1,Engineering Organic Chemistry II,Major elective,Youngmin You,3,3
36311,1,Food Microbiology,Major elective,Byoung Sik Kim,3,3
38520,1,Climate Statistics,Major elective,Changhyun Yoo,3,3
38523,1,Introduction to Energy Resources,Major elective,Min Baehyun,3,3
32918,1,Environmental Fluid Engineering,Major elective,PARK  CHANHYUK,3,3
34874,1,Environmental Chemistry,Major elective,KIM  DONG SU,3,3
38449,1,Soil Environment and Pollution,Major elective,Ji hyung Park,3,3
36388,1,Lighting and acoustic environment planning in buildings,Major requisite,Lim Jae Han,3,3
36390,1,Structural Mechanics,Major requisite,Kim  Hee Sun,3,3
38441,1,Introduction to Urban Infrastructure Systems,Major elective,Sungjoo Hwang,3,3
36345,1,Architectural Design 2,Major requisite,Tonghoon Lee,6,12
35720,1,Introduction to Asian Art History,Major elective,Taylor Pak,3,3
22002,1,Introductory Geology,Major elective,Jeonghoon Lee,3,3
35549,2,Integrated Science Curricular Materials and Teaching Methods,Major requisite,Miyoun Lim,3,3
35503,1,Materials Development and Methodology in English Language Teaching,Major Electives(teacher training course),Suyeon Kim,3,3
35513,1,Secondary School Teaching Methods in Music Education,Major Electives(teacher training course),Jihae Shin,3,3
