courseno,classno,title,classification,instructor,credit,hour
35075,1,Philosophy of Images,Major elective,Choong Su Han,3,3
22165,1,Introduction to International Relations,Major elective,Yong Kyun Kim,3,3
22185,1,Methodology in Political Science,Major elective,Jongkon Lee,3,3
30806,1,International Organization,Major elective,Yong Kyun Kim,3,3
38663,1,Politics and Social Change,Major elective,Go Min Hee,3,3
38664,1,Republicanism and Political Thought,Major elective,Kim  Kyung Hee,3,3
37175,1,Research Method for Public Policy,Major elective,Yoomi Kim,3,3
22195,1,Macroeconomics,Major elective,Hong  Kiseok,3,3
22195,2,Macroeconomics,Major elective,Byoung Hoon Seok,3,3
22201,1,Mathematics for Economics,Major elective,Minjung Park,3,3
22207,1,Statistics for Economics,Major elective,Jin Lee,3,3
22207,2,Statistics for Economics,Major elective,Hosin Song,3,3
22218,2,Microeconomics,Major elective,Bang  Se Hoon,3,3
22218,3,Microeconomics,Major elective,Minjung Park,3,3
35731,1,The Korean Economy,Major elective,Kim  SeiWan,3,3
36016,1,Records and Archives Management,Major elective,Ji Hyun Kim,3,3
33722,1,Gender and Society,Major elective,Minzee Kim,3,3
36061,1,Social Research Method,Major elective,Harris Hyunsoo Kim,3,3
35738,1,Social Problems,Major elective,Trent M. Bax,3,3
37459,1,Surveillance in Society,Major elective,Trent M. Bax,3,3
36025,2,Understanding Psychology,Major elective,Kim  Sung Ho,3,3
34506,1,Social Psychology,Major elective,Kyoung Ok Seol,3,3
35097,1,Infancy and Childhood Development,Major elective,Sujin Yang,3,3
33814,1,Consumer Decision Making,Major elective,LIM  EunJung,3,3
36078,1,Consumer and Information,Major elective,Hyemi Lee,3,3
33759,1,Psychological Approach to Mass Communication,Major elective,LIM  SOHYE,3,3
36043,1,Advertising and Consumer Psychology,Major elective,Seung Chul Yoo,3,3
37916,1,Networks and Public Management,Major elective,Yujin Choi,3,3
22212,2,International Finance,Major elective,Byoung Hoon Seok,3,3
36067,1,Financial Econometrics,Major elective,Jaeho Yun,3,3
36798,1,Law and Society,Major elective,Minzee Kim,3,3
34956,1,Community Social Welfare,Major elective,Sang Mi Cho,3,3
33311,1,Industrial Social Welfare,Major elective,,3,3
32959,1,Consumer Psychology,Major elective,Eunice Kim,3,3
35373,1,Consumer Investment and Insurance,Major elective,Joo  So Hyun,3,3
34720,1,Television Production,Major elective,Yun Jung Choi,3,3
35118,1,Advertising Management,Major elective,Soontae An,3,3
20307,1,Global Communication,Major elective,Choi  Jihyang,3,3
37546,1,Intercultural Communication,Major elective,Hye Eun Lee,3,3
20435,1,Differential Equations,Major elective,Min  Chohong,3,3
20442,1,Linear Algebra II,Major elective,Se jin Oh,3,4.5
35290,1,Advanced Calculus II,Major elective,YOON  Jungho,3,4.5
20634,1,Basic Probability Theory,Major elective,Mi Jeong Kim,3,3
20657,2,Regression Analysis,Major elective,Yoo  Jae Keun,3,3
20513,1,Physics Laboratory II,Major elective,Sang Wook Lee,2,3
20450,1,Topology II,Major elective,Hyun Kyu Kim,3,3
35979,1,Digital Image Processing,Major elective,Jungho Yoon,3,3
20656,1,Measure and Probability,Major elective,Jae Youn Ahn,3,3
36858,1,Categorical Data Analysis,Major elective,Donghwan Lee,3,3
20515,1,Physics Laboratory IV,Major elective,Dong Wook Kim,2,3
20527,1,Computational Physics,Major elective,Gun Sang Jeon,3,4.5
20570,2,Organic Chemistry II,Major elective,Ko  Soo Young,3,3
20570,3,Organic Chemistry II,Major elective,Yong Uk Kwon,3,3
20570,4,Organic Chemistry II,Major elective,Jean Bouffard,3,3
33695,2,Organic Chemistry Laboratory Ⅱ,Major elective,Yong Uk Kwon,2,3
33695,4,Organic Chemistry Laboratory Ⅱ,Major elective,Yong Uk Kwon,2,3
20554,1,Physical Chemistry III,Major elective,Jun Soo Kim,3,3
33698,1,Physical Methods in Chemistry II,Major elective,Park  So Jung,2,3
33698,2,Physical Methods in Chemistry II,Major elective,Park  So Jung,2,3
33698,3,Physical Methods in Chemistry II,Major elective,Park  So Jung/ Kim  Jinheung,2,3
33698,4,Physical Methods in Chemistry II,Major elective,KIM DONG HA,2,3
20600,3,Molecular Biology I,Major elective,Wan Kyu Kim/ Tae Soo Kim,3,3
30245,2,Microbiology,Major elective,KIM OK BIN,3,3
34237,2,Cell Biology II,Major elective,Eun Kyung Suh/ Lee  In Hye,3,3
20494,1,Computer Graphics,Major elective,Young Jun Kim,3,3
35327,1,Communications Laboratory,Major elective,Hyunggon Park,2,3
35327,2,Communications Laboratory,Major elective,Hyunggon Park,2,3
36347,1,Architectural Design 4,Major requisite,천호성,6,12
36349,1,Architectural Design 6,Major requisite,Da Un Yoo,6,12
37417,1,Integrated Cost and Schedule Management,Major elective,JeongWook Son,3,3
36351,1,Architectural Design 8(Capstone Design),Major elective,Hyoung gul Kook,6,12
36373,1,Integrated Cost and Schedule Management,Major requisite,JeongWook Son,3,3
30133,1,Air Pollution and Lab,Major elective,Lee  Ji Yi,3,4.5
36321,1,HACCP Analysis,Major elective,Sunae Kim,3,3
36815,1,Biochemistry II,Major elective,Kwon  Youngjoo,3,3.5
37515,1,Heat and Mass Transfer,Major elective,Byoung Hoon Lee,3,3
37520,1,Process Control Systems,Major elective,Sangheon Lee,3,3
37838,1,Introduction to biochemical engineering,Major elective,Si Jae Park,3,3
37839,1,Elementary Quantum Mechanics,Major elective,Suyeon Cho,3,3
37530,1,Catalytic Process Engineering,Major elective,Woojae Kim,3,3
35956,1,Class Organ II,Major elective,Yoomi Chang,1,1.5
36583,1,Class Piano II,Major elective,Yoong Kyung Ahn,1,1.5
20882,1,Korean Music EnsembleⅡ,Major requisite,KIM SUN OK,1,2
20882,2,Korean Music EnsembleⅡ,Major requisite,BAEK Mi Jin,1,2
20882,3,Korean Music EnsembleⅡ,Major requisite,KIM  hyeran,1,2
37867,1,Korean Traditional String EnsembleⅡ,Major elective,LEE Su Eun/ KIM SO YEON,1,2
37891,1,Korean Music CompositionⅡ,Major elective,Hyun Jung Ahn,1,2
20883,1,Korean Music EnsembleⅣ,Major requisite,KIM SUN OK,1,2
20883,2,Korean Music EnsembleⅣ,Major requisite,BAEK Mi Jin,1,2
20883,3,Korean Music EnsembleⅣ,Major requisite,KIM  hyeran,1,2
36098,1,Applied DansoⅡ,Major elective,Park Hye ohn,1,1.5
36635,1,Korean Traditional InstrumentⅡ,Major elective,Park Hye ohn,1,1.5
37869,1,Korean Traditional String EnsembleⅣ,Major elective,LEE Su Eun/ KIM SO YEON,1,2
37893,1,Korean Music CompositionⅣ,Major elective,Hyun Jung Ahn,1,2
34823,1,Keyboard Literature II,Major requisite,Yoong Kyung Ahn,2,2
